email,goal_id,month,sip_amount,portfolio_planned_value,portfolio_actual_value,nifty ,portfolio_nifty_value
sp@gmail.com,ab12,1/10/2020,6857,6857,6901,12257,6857
sp@gmail.com,ab12,2/10/2020,6857,13780,13830,12032,13588
sp@gmail.com,ab12,3/10/2020,6857,20769,18265,10451,18661
sp@gmail.com,ab12,4/10/2020,6857,27825,24836,9112,23126
sp@gmail.com,ab12,5/10/2020,6857,34948,33706,9252,30337
sp@gmail.com,ab12,6/10/2020,6857,42140,42131,10116,40029
sp@gmail.com,ab12,7/10/2020,6857,49401,53284,10768,49466
sp@gmail.com,ab12,8/10/2020,6857,56732,62948,11270,58630
sp@gmail.com,ab12,9/10/2020,6857,64132,73755,11449,66418
sp@gmail.com,ab12,10/10/2020,6857,71604,87560,11914,75972
sp@gmail.com,ab12,11/10/2020,6857,79147,95349,12631,87401
sp@gmail.com,ab12,12/10/2020,6857,86763,109297,13478,100120
sp@gmail.com,ab12,1/10/2021,9186,96780,129276,14347,115761
sp@gmail.com,ab12,2/10/2021,9186,106894,139681,15107,131073
sp@gmail.com,ab12,3/10/2021,9186,117104,151346,15175,140851
sp@gmail.com,ab12,4/10/2021,9186,127412,168444,14835,146882
sp@gmail.com,ab12,5/10/2021,9186,137819,180505,14942,157132
sp@gmail.com,ab12,6/10/2021,9186,148326,204468,15738,174683
sp@gmail.com,ab12,7/10/2021,9186,158933,229160,15690,183337
sp@gmail.com,ab12,8/10/2021,9186,169643,259346,16280,199420
sp@gmail.com,ab12,9/10/2021,9186,180454,283654,17369,221948
sp@gmail.com,ab12,10/10/2021,9186,191370,296435,17895,237854
sp@gmail.com,ab12,11/10/2021,9186,202390,314495,18017,248662
sp@gmail.com,ab12,12/10/2021,9186,213515,327368,17511,250866
sp@gmail.com,ab12,1/10/2022,11780,227341,337309,17248,258879
sp@gmail.com,ab12,2/10/2022,11780,241300,329500,17374,272545
sp@gmail.com,ab12,3/10/2022,11780,255393,349389,16630,272654
sp@gmail.com,ab12,4/10/2022,11780,269620,348456,17784,303354
sp@gmail.com,ab12,5/10/2022,11780,283984,327512,15782,280984
sp@gmail.com,ab12,6/10/2022,11780,298485,332486,16201,300224
sp@gmail.com,ab12,7/10/2022,11780,313126,344236,16220,312356
sp@gmail.com,ab12,8/10/2022,11780,327907,377810,17698,352599
sp@gmail.com,ab12,9/10/2022,11780,342829,369591,17833,367068
sp@gmail.com,ab12,10/10/2022,11780,357895,383998,17185,365510
sp@gmail.com,ab12,11/10/2022,11780,373104,407725,18349,402047
sp@gmail.com,ab12,12/10/2022,11780,388460,433121,18496,417048
sp@gmail.com,ab12,1/10/2023,14665,406848,461609,17859,417350
sp@gmail.com,ab12,2/10/2023,14665,425412,500778,17856,431945
sp@gmail.com,ab12,3/10/2023,14665,444154,,,
sp@gmail.com,ab12,4/10/2023,14665,463075,,,
sp@gmail.com,ab12,5/10/2023,14665,482178,,,
sp@gmail.com,ab12,6/10/2023,14665,501464,,,
sp@gmail.com,ab12,7/10/2023,14665,520934,,,
sp@gmail.com,ab12,8/10/2023,14665,540592,,,
sp@gmail.com,ab12,9/10/2023,14665,560437,,,
sp@gmail.com,ab12,10/10/2023,14665,580473,,,
sp@gmail.com,ab12,11/10/2023,14665,600701,,,
